"Date","Ship","Category","Mission"
"2026-08-29","UCS Takanami","Frontline","CELL 06-06"
"2026-08-29","UCS Havock","Frontline","CELL 06-06"
"2026-08-28","UCS Takanami","Frontline","CELL 05-05"
"2026-08-22","UCS Havock","Frontline","CELL 03-07"
"2026-08-22","UCS Takanami","Campaign: Into the Barrens","CAMPAIGN DEPLOYMENT"
"2026-08-13","UCS Havock","Intrigue","OPERATION EURYDICE"
"2026-08-13","UCS Takanami","Exploration","OPERATION MARCONI"
"2026-08-12","UCS Takanami","Exploration","OPERATION SISTEMA"
"2026-08-12","UCS Havock","Military","OPERATION TEDDER"
"2026-08-09","UCS Takanami","Diplomacy","OPERATION PHILBY"
"2026-08-02","UCS Havock","Intrigue","Operation name unavailable"
"2026-07-25","UCS Takanami","Diplomacy","OPERATION CLARITY"
"2026-07-18","UCS Takanami","Intrigue","OPERATION MOCKINGBIRD"
"2026-07-18","UCS Takanami","Campaign: Into the Barrens","CAMPAIGN DEPLOYMENT"
"2026-07-11","UCS Takanami","Intrigue","OPERATION HANUMAN"
"2026-07-04","UCS Takanami","Campaign: Into the Barrens","CAMPAIGN DEPLOYMENT"
"2026-07-03","UCS Havock","Diplomacy","OPERATION PITCHFORK"
"2026-06-27","UCS Takanami","Military","OPERATION TEDDER"
"2026-06-21","UCS Takanami","Intrigue","OPERATION ADAMAN"
"2026-06-07","UCS Havock","Exploration","OPERATION SISTEMA"
"2026-06-07","UCS Havock","Frontline","CELL 02-07"
"2026-06-07","UCS Takanami","Campaign: The Conspiracy","CAMPAIGN DEPLOYMENT"
"2026-06-06","UCS Takanami","Military","OPERATION MENDICANT"
"2026-06-06","UCS Takanami","Campaign: The Conspiracy","CAMPAIGN DEPLOYMENT"
"2026-06-06","UCS Takanami","Campaign: The Conspiracy","CAMPAIGN DEPLOYMENT"
"2026-06-05","UCS Takanami","Campaign: The Conspiracy","CAMPAIGN DEPLOYMENT"
"2026-06-05","UCS Takanami","Campaign: The Conspiracy","CAMPAIGN DEPLOYMENT"
"2026-05-31","UCS Havock","Exploration","OPERATION ADAMAN"
"2026-05-31","UCS Havock","Intrigue","OPERATION TELEGRAM"
"2026-05-28","UCS Havock","Military","OPERATION CLAYMORE"
"2026-05-24","UCS Havock","Military","OPERATION TECUMSEH"
"2026-05-16","Both Ships","Special Event","OPERATION AEGIS"
"2026-05-16","UCS Takanami","Intrigue","OPERATION ADAMAN"
"2026-05-04","UCS Havock","Military","OPERATION SILK ROAD"
"2026-05-04","UCS Havock","Military","Operation name unavailable"
"2026-05-04","UCS Havock","Officer","Operation name unavailable"
"2026-04-30","UCS Takanami","Intrigue","OPERATION RECOIL"
"2026-04-19","UCS Takanami","Intrigue","Operation name unavailable"
"2026-04-19","UCS Havock","Intrigue","OPERATION EURYDICE"
"2026-04-15","UCS Takanami","Intrigue","OPERATION CAMINO"
"2026-04-08","UCS Havock","Military","Operation name unavailable"
"2026-03-28","UCS Havock","Diplomacy","Operation name unavailable"
"2026-03-15","UCS Takanami","Military","OPERATION COPIAPO"
"2026-03-15","UCS Takanami","Intrigue","OPERATION ANTIMONY"
"2026-02-22","UCS Havock","Exploration","OPERATION VANGUARD"
"2026-02-19","UCS Takanami","Exploration","OPERATION AMUNDSEN"
"2026-02-10","UCS Takanami","Intrigue","OPERATION ARGUS"
"2026-02-08","UCS Havock","Military","Operation name unavailable"
"2026-01-29","UCS Takanami","Exploration","OPERATION MARCONI"
"2026-01-24","UCS Havock","Military","OPERATION SILK ROAD"
"2026-01-24","UCS Takanami","Diplomacy","OPERATION REDENTOR"
"2026-01-18","UCS Havock","Exploration","OPERATION VANGUARD"
"2026-01-04","UCS Takanami","Intrigue","OPERATION EURYDICE"
"2025-12-14","UCS Takanami","Military","OPERATION QUICKSTEP"
"2025-11-30","UCS Takanami","Exploration","OPERATION OBELISK"
"2025-06-20","UCS Havock","Exploration","OPERATION SARGASSO"
